X,Y,fid,VALUE,area,perimeter,subfid,subfull_id,subosm_id,subosm_type,subpower,subname,subentrance,subdoor,subaccess,subtourism,subbarrier,subaccess:delivery,n,distance,feature_x,feature_y,nearest_x,nearest_y,tx_distance,SITE_SCORE,MCDA_SCORE,auxiliary_storage_labeling_show
"-74.4183338147245","41.1023681096779","27","0","60000","1400","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","28536.9987012697","548793.3438","4549984","544352.802782594","4521794.60677579","7.00916780361111","44.7848029394011","22.3924014697005",
"-74.3017255574122","41.0931629367089","28","0","30000","800","24",n10869700184,"10869700184",node,,,,,no,,gate,,"1","25429.4264376727","558693.3438","4549184","567264.026078173","4525242.42247813","7.00916780361111","50.7975310721226","25.3987655360613",
"-74.9929356974896","41.0844689193593","29","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","28304.4456902754","500593.3438","4547984","514856.66202907","4523536.10849725","7.00916780361111","45.234761271162","22.617380635581",
"-74.9917453632636","41.0826672225599","30","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","28081.3074052266","500693.3438","4547784","514856.66202907","4523536.10849725","7.00916780361111","45.6665033933699","22.8332516966849",
"-74.4292383579168","41.0808034286051","31","0","40000","1000","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","26130.3676249222","547893.3438","4547684","544352.802782594","4521794.60677579","7.00916780361111","49.4413055563625","24.7206527781813",
"-74.8673408485475","41.0798887734226","32","0","30000","800","6",n3901878574,"3901878574",node,,,,,,,gate,,"1","24159.9094376131","511193.3438","4547484","515649.802518094","4523738.65941016","7.00916780361111","53.2538731725605","26.6269365862803",
"-74.9881745888651","41.0781628649726","33","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","27498.2534562952","500993.3438","4547284","514856.66202907","4523536.10849725","7.00916780361111","46.7946331951132","23.3973165975566",
"-74.9869844982643","41.0763611170286","34","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","27275.1191179752","501093.3438","4547084","514856.66202907","4523536.10849725","7.00916780361111","47.2263676809396","23.6131838404698",
"-74.9846043016687","41.073658393247","35","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","26915.2012941843","501293.3438","4546784","514856.66202907","4523536.10849725","7.00916780361111","47.9227595396025","23.9613797698012",
"-74.2737920485551","41.0707705782228","36","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","22394.3568430681","561093.3438","4546784","570405.055097595","4526417.37899589","7.00916780361111","56.6699764372782","28.3349882186391",
